did,handle,avatar,banner,description,display_name,followers_count,follows_count,indexed_at,labels,posts_count,viewer,py_type,is_frequent_poster
did:plc:7qiuhllywd7skoiqadlya3ry,clairewillett.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:7qiuhllywd7skoiqadlya3ry/bafkreifnhq4x2gmn5ajnmhfty3woyiredsuabjy2lxgsbakf7e5idzomtu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:7qiuhllywd7skoiqadlya3ry/bafkreidom4hkwkaj6gc6efgd7h4scy4vmku4lvb7cp54lydvl2labqagja@jpeg,Playwright. Chaos Muppet. Raconteuse. The internet’s gay Catholic aunt. Author of the time travel series THE REWIND FILES. Just a Virgo who can’t drive. http://clairewillettwrites.com (she/her) (PDX),Claire Willett,8456,553,2024-01-26T00:03:32.521Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:7qiuhllywd7skoiqadlya3ry', uri='at://did:plc:7qiuhllywd7skoiqadlya3ry/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreiabo3b3gkqfzmhioe23rnzoo2okvqzqbkvfpwlpjd3hxvraxpzbpa', neg=None, py_type='com.atproto.label.defs#label')]",4262,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:queiogp4cavuzrnq4k3hxh6t,lawyersheryl.com,https://cdn.bsky.app/img/avatar/plain/did:plc:queiogp4cavuzrnq4k3hxh6t/bafkreihlqscd7224xbwmue4pbsbs2mcli76aiy3mrgu7sj4abgvk4hhxjy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:queiogp4cavuzrnq4k3hxh6t/bafkreig2v66oqqk7cddo37sbliaxjgjoctaxh2bmdu7qfk5inkylr3xe5q@jpeg,"@mistymotors.net's lucky wife. Author, CIRCU$ COURT$, available on Amazon. Name your own price lawyer for people accused of crimes of poverty. Trans antizionist Jew. Crohnie. She/her. Emma Goldman was right. No legal advice here.

www.weikallaw.com","Sheryl Weikal, saying Israel has no right to exist actually",7450,8201,2024-03-20T19:56:13.744Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:queiogp4cavuzrnq4k3hxh6t', uri='at://did:plc:queiogp4cavuzrnq4k3hxh6t/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreide54hrtpc232mgvqw3gbrfobm7m4g76nwqa5mmaw5pmx6e3hy6p4', neg=None, py_type='com.atproto.label.defs#label')]",7654,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:2xzjzuyrgz6dmjy2xdhlawgl,notalawyer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:2xzjzuyrgz6dmjy2xdhlawgl/bafkreieuxjz7ojhrhugi7stfayeur2zdlyxes7ehmhcgsk5txmdwqaauoe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:2xzjzuyrgz6dmjy2xdhlawgl/bafkreie3rh7wmjf6ivgdcvpzrhk46tbjqdrwbpgcwoxsddxfel2tj2dyyi@jpeg,No longer in good standing with the New York State bar,Peter,34018,193,2024-01-25T23:50:11.136Z,[],770,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:rfoctmk4guq56gensuermj7q,rusty.todayintabs.com,https://cdn.bsky.app/img/avatar/plain/did:plc:rfoctmk4guq56gensuermj7q/bafkreid4ffvq3t5rydaqhi3moaguvrw4allady7qcefhvnq3oej3mdk7su@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rfoctmk4guq56gensuermj7q/bafkreiczfxv26vo6hy7pej5khxcolixevj3ht3ylua2jlrxybcguatpi5a@jpeg,"You know, from Tabs. https://www.todayintabs.com

DMs via Signal @rusty.85

where'd you get your information from, huh?",Rusty Foster,3200,427,2024-03-06T15:06:06.623Z,[],1476,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:6hit5rjdbmlnscmuk4bbtmuc,rincewind.run,https://cdn.bsky.app/img/avatar/plain/did:plc:6hit5rjdbmlnscmuk4bbtmuc/bafkreihjwxhayfbw66wvb4n4n4ggkcquoqufule63eglfbs6xr5prhwblq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:6hit5rjdbmlnscmuk4bbtmuc/bafkreih5xwrtm3n2ireflxvkxlczwgyqjgyj3wgydfx3zsbj3ajh2xry5a@jpeg,"Recovering forum poster, politics doomer, basketball nerd. I write code for a living. He/him. 

Deputy Chair of the Ankh-Morpork Posters’ Guild

PFP by @atlastalos.bsky.social

discord: xel42",Micah,8587,640,2024-03-05T19:40:20.418Z,[],23276,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:jmte4w4x7ukciit6lci6ziau,phillewis.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:jmte4w4x7ukciit6lci6ziau/bafkreif5xhqmtujhof4uey7cczispl54swmm6tfw5ouvurkppjgnkj2nbq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jmte4w4x7ukciit6lci6ziau/bafkreieoulhoioy3bf6i6qdedlro3f5gabevnvzi65odxtegdxebdoo4me@jpeg,detroit native. senior editor at huffpost. subscribe to my free newsletter! --> https://linktr.ee/lewisph4,Phil Lewis,89844,650,2024-01-25T23:48:20.923Z,[],2163,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:nnn5h7jefzfbpqmdzxtdidrp,brianklaas.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:nnn5h7jefzfbpqmdzxtdidrp/bafkreibdqeexwxserfdirmjtl64zwul4duqgiqntctnu7owj2objfomqim@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:nnn5h7jefzfbpqmdzxtdidrp/bafkreib6wcu2ue42d3k3xjwyxfr5l2nk3c6ehwgg2jnjgyd7t35hzimwke@jpeg,"Associate Professor in Global Politics @UCL. Author of “Fluke."" Writer @TheAtlantic. Host, Power Corrupts podcast. The Garden of Forking Paths Substack. ",Brian Klaas,3543,230,2024-02-13T10:19:42.241Z,[],134,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:vl7iw2awdpm72srjve3f4fj2,pkrugman.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:vl7iw2awdpm72srjve3f4fj2/bafkreigidza3be5bhzzbrl7l2vyokmf5hz4jdtxz52aq2bpj2vlzovteeq@jpeg,,,Paul Krugman,25790,78,2024-01-26T00:39:37.391Z,[],279,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:jvelfy3ft5pant7jfsu4p637,lamhfada.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:jvelfy3ft5pant7jfsu4p637/bafkreifceer57reejwlcffz77wob5itcfobxtppac2h7a3szqsk6bwoxkm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jvelfy3ft5pant7jfsu4p637/bafkreicg2yf3nvlepqdfnmad4ljbz5zmlnqgkyy73i7jqwrmsufj7shvte@jpeg,"Irish, déghnéasach (bisexual for you English speakers), 🏳️‍🌈, Mental Health Worker, Leftist. 

TERFS and Fascists blocked on sight. 

Psychology, Philosophy, Phenomenology, Platonism, Paganism, Polytheism, Ancient History and Myth, nerd shit, RPGs,gaming",Lamhfada ,1638,1520,2024-01-26T00:12:19.978Z,[],4120,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:ejihld4sywvvqwe67cdkn4jq,marisakabas.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ejihld4sywvvqwe67cdkn4jq/bafkreigfaewhwqxtnrwf2zu5msi2aitsibaq6scacyfqugv3m335psz4hi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ejihld4sywvvqwe67cdkn4jq/bafkreibdkk2eu2isgcrsd4dq4xceqqxqpykklxqj2nwjrh5amzzfcsdxei@jpeg,"writer of www.thehandbasket.co (now hosted on beehiiv)

💌: MKwrites4000@proton.me / signal: marisakabas.04

buy me a coffee: https://ko-fi.com/marisakabas",Marisa Kabas,13027,564,2024-03-19T12:52:33.145Z,[],7249,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:ybkylffhwhn2an2ic2lxh76k,wolvendamien.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ybkylffhwhn2an2ic2lxh76k/bafkreiht5jyu2sk5mxobyc4jjslgxpjgvjq5wl5zl7r4ss2l46z3itu7fm@jpeg,,"Assistant Professor of Philosophy & Data Science, UNCC
Degrees in Science, Technology, & Society; Philosophy; Religious Studies
Thinking on Algorithms, 'A.I.,' Human Values, Marginalized Lived Experiences, Magic/The Occult, Pop Culture
He/Him/His","Dr. Damien P. Williams: Magus, Werewolf, Cyborg, Bi",4678,566,2024-01-26T00:08:12.252Z,[],4180,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:yfyg7lj7atao6krdbaqaci35,billcorbett.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:yfyg7lj7atao6krdbaqaci35/bafkreiauqgjv2awby5eazcvsa5nrjlkkapkac7bn646egnrjswhqfj3dn4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:yfyg7lj7atao6krdbaqaci35/bafkreif2morhoitew2ijb5sux3qcromlzhvvm66xi3737bku7ebubchwou@jpeg,"writer actor dogwalker rifftrax mst3k 

instagram @billcorbett
",Bill Corbett ,17489,523,2024-03-03T06:54:33.109Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:yfyg7lj7atao6krdbaqaci35', uri='at://did:plc:yfyg7lj7atao6krdbaqaci35/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreibiafoosononler3ofelreqb6bglx3yl2rsgudmfpyesmpoujyhya', neg=None, py_type='com.atproto.label.defs#label')]",1826,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:bbp2b224lro3bfnzcqwwnkfo,emptywheel.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:bbp2b224lro3bfnzcqwwnkfo/bafkreib6pgjigju2ueiuyzgyavwvxm7ottneushsvabzi46lzs6aff5gyu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:bbp2b224lro3bfnzcqwwnkfo/bafkreiexlfcddke7dw27v3e4ai67n4ugveaee7wnsqt55uxdv3ls7pdaru@jpeg,"Coverage of January 6 and other legal investigations. An American-Irish in Ireland. 

Legendary potty mouth! ",emptywheel,21510,885,2024-01-26T00:12:51.804Z,[],2077,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:5gy3v7opwo3bfoa7dojkfhvp,helenkennedy.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:5gy3v7opwo3bfoa7dojkfhvp/bafkreigc3xpxb7djdubbccgdgqrwmt4z3olionrugu7utcgyp4d5bymumm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:5gy3v7opwo3bfoa7dojkfhvp/bafkreifmvanjsoashequtf4g6tckds3pn5oanp3nbniuv2oyglelxc2asu@jpeg,Twitter refugee. Newspapers 4 life. (Ex NY Daily News & Boston Herald.) NYC and North Fork. Fan of Sondheim and Venice. Aspiring watercolorist. Hoping sarcasm works out better over here. ,Helen Kennedy,8786,639,2024-02-02T20:11:41.649Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:5gy3v7opwo3bfoa7dojkfhvp', uri='at://did:plc:5gy3v7opwo3bfoa7dojkfhvp/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreig3torgfz6ohdhgdp2qfgjjzi3muvnggdioidvip7qveyvlkfsidy', neg=None, py_type='com.atproto.label.defs#label')]",6740,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:75de35xcl3pg2vv3fcxxjtsl,ellearmageddon.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:75de35xcl3pg2vv3fcxxjtsl/bafkreicntetm2mxqbeimvappct2eca2my54jv4ksgkvzc4bvrh4cmqvaq4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:75de35xcl3pg2vv3fcxxjtsl/bafkreib2onea5d7g4se6lolhn3mb5qalogzv6ihxjgz5jef64sqhbiifca@jpeg,"i’m not a girl, and not interested in being polite or cisgender. jewish, anarchist, still punk, in my daddy era.

this is not a place of honor.
no highly esteemed thoughts are skeeted here.

be they/do crime.

oaklandelle at gmail, shoot your shot!",mx elle is eepy,5713,1024,2024-03-11T20:55:44.618Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:75de35xcl3pg2vv3fcxxjtsl', uri='at://did:plc:75de35xcl3pg2vv3fcxxjtsl/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreifa7iev7x6kbzvoz3csyv2lpuagoybqrqwv4ux6to5s7w4jgaoqoe', neg=None, py_type='com.atproto.label.defs#label')]",13870,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:6vxkf3dayl4uyc77vv6deraj,atherton.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:6vxkf3dayl4uyc77vv6deraj/bafkreicku3oxx4djoh4phqhy7uuy2cp3w7x6jiyhseopa4ymzkjusv7fju@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:6vxkf3dayl4uyc77vv6deraj/bafkreibaciusz3ktmiorjqmjbp7xdskj7pjdscbwpinocooxprb2dypp7a@jpeg,"War, robots, & bad futures but imagining better. EIC, International Policy Journal, opinions my own. Unitarian Universalist. He/him. Husband to @alymay.bsky.social & father to a baby.

If you are going to hang out in my mentions please do not embarrass me.",Kelsey Atherton,6937,610,2024-03-04T18:02:57.218Z,[],3554,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:xy6tjlsgcxht6wvubvmg6nop,merrittk.com,https://cdn.bsky.app/img/avatar/plain/did:plc:xy6tjlsgcxht6wvubvmg6nop/bafkreiabqcf4dxdb624m23qm3z6if65732moip2n7caso5emzpawrs26ce@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xy6tjlsgcxht6wvubvmg6nop/bafkreihyuvgwoibdpw5enp6357lmhtstk6ehqy4i2mqkrsahappz3dkera@jpeg,No recall or intervention can work in this place / patreon.com/merrittk / avatar by Rusty Shackles / represented by Connor Goldsmith (connor@fuseliterary.com),merritt k,28187,578,2024-01-25T23:51:51.510Z,[],11082,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:xhmwhdq4pj2wh5jeucxjhay2,lethalityjane.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:xhmwhdq4pj2wh5jeucxjhay2/bafkreicgixmgxfte2fqgwz45etp7ewczuu7qxcu3exrzul4y6o6njobk3q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:xhmwhdq4pj2wh5jeucxjhay2/bafkreifp4fzm7d4sfv3pvi24bvy4ifff5xzyxyjatnwoadgi24kggyaiyq@jpeg,"""some kind of maniac""",ex-Lethality Jane,3166,143,2024-01-26T00:00:09.340Z,[],2586,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:bx4ayg5glgadmmttzkx75y7s,unstablemongoose.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:bx4ayg5glgadmmttzkx75y7s/bafkreickxp666mwasxutij7cmx7uoy53zstbbwreli3cvdki6nwevx6rpa@jpeg,,Longing for a return to the days when my school's coach castrated a bull as a motivational display.,UnstableMongoose,88,109,2024-01-26T00:34:54.406Z,[],450,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:6ewkadw7hiyvj5hsckbto3b6,iamspacegirl.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:6ewkadw7hiyvj5hsckbto3b6/bafkreic24672kmvrzv33pvp727rjkoiu636mjnjlkfux3h2f3pi33blbae@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:6ewkadw7hiyvj5hsckbto3b6/bafkreieeg3unmzmvxudxwx5zfslff2rjgatjctq475zcihsqoij44xp2ty@jpeg,"Jewelry Alchemist
@Thunderflower_Alchemy on Instagram or ThunderflowerAlchemy on etsy🚀🏳️‍🌈
",sky ,2109,262,2024-02-17T18:58:24.945Z,[],462,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:a25kqnnqd7g4bvahjwz2enkh,kashana.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:a25kqnnqd7g4bvahjwz2enkh/bafkreigfvfmqum4yckiccd45x4d4ksajb3xlc2hdh6nawadvuaw6tr5via@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:a25kqnnqd7g4bvahjwz2enkh/bafkreifqrhbwqdtordi6j6vb5qvmczwloicp2nrvw4bzr6ambv5iq645va@jpeg,"TV writer. Author of the novel The Survivalists. Deadly with a butter knife. 
https://kashanacauley.com",Kashana,19593,269,2024-01-25T23:48:44.265Z,[],406,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:squcwsoa45f5ibxykhzpnvnc,mommunism.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:squcwsoa45f5ibxykhzpnvnc/bafkreieaw2ghib56jhlctk2nkvrwti275y3hndsfs62ozbu64ssx6uhoz4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:squcwsoa45f5ibxykhzpnvnc/bafkreicmdl66x5ylrktksrml442w4ovn6bjbxbp2hcopdozqzxlw2jt6u4@jpeg,"Curly hair enthusiast, ☭, mom, abortion aficionado, misplaced Kentuckian, Berliner, Colonel Sanders chronicler, recovering lawyer, contributing writer @therealnews.com Social Media etc for @burnitdownkimbrown.bsky.social
Always Antifascist",Molly Shah,6400,613,2024-01-25T23:53:57.760Z,[],21470,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:zxoxz4jlbmjbobl5wmcvlri4,sararoseg.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:zxoxz4jlbmjbobl5wmcvlri4/bafkreicfiraopkfxurrgqifjgmj6bhzfnfdvzxpeh7qoqkvtizig6tqydu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zxoxz4jlbmjbobl5wmcvlri4/bafkreih7bjnk2ob5rlwcd5fuoxtebkef3pupkqt35a6ttkghmn52yanho4@jpeg,Comedy writer from lots of those shows you like. Author of Drama Queen. Debut novel Eight Bright Lights out now. Autistic Jewish cat lady. She / Her,Sara Gibbs ,2099,427,2024-01-25T23:52:54.983Z,[],1347,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:44yddrxlbkmufwcl6yajflro,rainsurname.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:44yddrxlbkmufwcl6yajflro/bafkreieyxzxik3s753grarcjyspu43n6hezrx6bz7ytkzn2hpn64okqk3e@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:44yddrxlbkmufwcl6yajflro/bafkreieki2mlaycbtfylvt52dr5yikgg4tigjhvao7p722tqk2rnoznj6u@jpeg,"DC native, long time Portlander, Kinja/Twinja exile, haver of opinions & cats.  linktr.ee/RainSurname",RainSurname,488,552,2024-02-07T06:09:37.754Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:44yddrxlbkmufwcl6yajflro', uri='at://did:plc:44yddrxlbkmufwcl6yajflro/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreicorq42cc6xg7lhoucqip4mrrqhhhtu6bifewlcwpqrxo6j7vyhka', neg=None, py_type='com.atproto.label.defs#label')]",5680,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:gexyzhqlp5r7kart7lw4jgzb,evangreer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:gexyzhqlp5r7kart7lw4jgzb/bafkreic7kmlemzhcyzlu6dz32cvzg5uf3msriej5km6alqa5r3bezykoeq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:gexyzhqlp5r7kart7lw4jgzb/bafkreifsfrrscjm365br6cydsagm5e47jyys7q5ajp77wnd6k7bgtdtlbi@jpeg,"Queer activist, writer, and musician causing problems for the powerful. Director of Fight for the Future. Last album ""Spotify is Surveillance"" out now on Don Giovanni Records and Get Better Records. she/her/they/them",Evan Greer,2844,541,2024-01-25T23:52:36.786Z,[],433,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:qrllvid7s54k4hnwtqxwetrf,joshuajfriedman.com,https://cdn.bsky.app/img/avatar/plain/did:plc:qrllvid7s54k4hnwtqxwetrf/bafkreib23eadxpggfp2qnaedokvexhg2qivcberogdsvcsfzj2tablfiee@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qrllvid7s54k4hnwtqxwetrf/bafkreiahe7mtmvicvoeowkifwtiv73dlpful7qklinezpo2q6rlutvwvte@jpeg,"Freelance writer and editor. Formerly of The Atlantic, Boston Review. Copy chief at Columbia Magazine.",Joshua J. Friedman,19375,1557,2024-02-14T19:24:02.140Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:qrllvid7s54k4hnwtqxwetrf', uri='at://did:plc:qrllvid7s54k4hnwtqxwetrf/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreiadlzab5vegrzpfgtyrg2ietl4vgtjxj5mj5inc46o5enr5vun4gm', neg=None, py_type='com.atproto.label.defs#label')]",19465,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:izxpomdyri45gzhppiiyattq,coachfinstock.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:izxpomdyri45gzhppiiyattq/bafkreidhtnev2ubfqgbhapnatkrpp4xal42kn2nu6q7ro7iat3uuhooecu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:izxpomdyri45gzhppiiyattq/bafkreieslvlflpuwtucmdfgbpfd3gdoycygxh65zzmkm5rtj5hwphuq3de@jpeg,"Football. Basketball. Democracy. Cream cheese.

Editor: Eater, The Feast (RIP), Citypaper (RIP) Writer: LA Weekly, Inky, Ranker, Zagat ",Coach Finstock,3283,497,2024-02-06T14:52:29.549Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:izxpomdyri45gzhppiiyattq', uri='at://did:plc:izxpomdyri45gzhppiiyattq/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreiavyk23pk6zbtova72zatpkbeso66miyxgmpvenz4tdjfxpzc4vqi', neg=None, py_type='com.atproto.label.defs#label')]",9270,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:4eedw4y6ei2dqjgspjeskzlk,theradr.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:4eedw4y6ei2dqjgspjeskzlk/bafkreicv7g3qtfnc5erqewunta5czhvbggslvyl5ews53t3qwguzgtgmga@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:4eedw4y6ei2dqjgspjeskzlk/bafkreiax6hia543lokcjov7xfspsbcatc3w7kwg4eiy3yjftmi4a3hvfxa@jpeg,"Rabbi/award-winning author.
🌱Sacred + justice newsletter (100% NAZI-FREE!): LifeIsASacredText.com 
Newest 📚ON REPENTANCE & REPAIR: MAKING AMENDS IN AN UNAPOLOGETIC WORLD. 
💥Collective liberation or bust. 
 she/her
",Rabbi Danya Ruttenberg,17835,404,2024-01-25T23:53:21.238Z,[],4859,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:p2qxsyohgdosfoh2ubaxydc3,vpsreports.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:p2qxsyohgdosfoh2ubaxydc3/bafkreiah5ebwvexpe4urwgykb7ovkpyztrt4h7gmjcvuwry5irkthw46pi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:p2qxsyohgdosfoh2ubaxydc3/bafkreihv2bwwoj6azpa76nxhgofls6lhricxns4avmw2qx2vgat3xqca2m@jpeg,"Co-Owner of Bella Ciao Cinema LLC. Film Editor. Documentarian. Video Journalist. Always Antifascist. Non-Binary. Obsessed with everything Gundam. Bylines: LCRW, It’s Going Down, Daily Kos. 

https://linktr.ee/vpsreports",Vishal P. Singh 🏳️‍⚧️🇵🇸 (they/he),4052,480,2024-03-20T20:28:39.745Z,[],3542,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
